locus_id,gene_name,gene_id,gene_type,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
bhlhe41_chr12_lung,BHLHE41,ENSG00000123095.6,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pzp_chr12_lung,PZP,ENSG00000126838.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
itga7_chr12_lung,ITGA7,ENSG00000135424.19,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ppp1r1a_chr12_lung,PPP1R1A,ENSG00000135447.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ckap4_chr12_lung,CKAP4,ENSG00000136026.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ndufa9_chr12_lung,NDUFA9,ENSG00000139180.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ano4_chr12_lung,ANO4,ENSG00000151572.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pdzrn4_chr12_lung,PDZRN4,ENSG00000165966.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
krt1_chr12_lung,KRT1,ENSG00000167768.4,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dpy19l2_chr12_lung,DPY19L2,ENSG00000177990.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
atp6v0a2_chr12_lung,ATP6V0A2,ENSG00000185344.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ncor2_chr12_lung,NCOR2,ENSG00000196498.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
scn8a_chr12_lung,SCN8A,ENSG00000196876.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ficd_chr12_lung,FICD,ENSG00000198855.7,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
utp18_chr17_lung,UTP18,ENSG00000011260.14,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
alkbh5_chr17_lung,ALKBH5,ENSG00000091542.9,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cryba1_chr17_lung,CRYBA1,ENSG00000108255.8,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rnf167_chr17_lung,RNF167,ENSG00000108523.16,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rai1_chr17_lung,RAI1,ENSG00000108557.20,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cpd_chr17_lung,CPD,ENSG00000108582.12,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ywhae_chr17_lung,YWHAE,ENSG00000108953.17,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pyy_chr17_lung,PYY,ENSG00000131096.11,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
kat7_chr17_lung,KAT7,ENSG00000136504.13,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
csnk1d_chr17_lung,CSNK1D,ENSG00000141551.15,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
abca10_chr17_lung,ABCA10,ENSG00000154263.18,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gjc1_chr17_lung,GJC1,ENSG00000182963.11,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
spdye4_chr17_lung,SPDYE4,ENSG00000183318.12,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
kif18b_chr17_lung,KIF18B,ENSG00000186185.14,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
c17orf58_chr17_lung,C17orf58,ENSG00000186665.10,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fam83g_chr17_lung,FAM83G,ENSG00000188522.15,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rnasek_chr17_lung,RNASEK,ENSG00000219200.12,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lasp1nb_chr17_lung,LASP1NB,ENSG00000263874.2,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
synrg_chr17_lung,SYNRG,ENSG00000275066.5,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dusp14_chr17_lung,DUSP14,ENSG00000276023.5,protein_coding,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tymp_chr22_lung,TYMP,ENSG00000025708.14,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cltcl1_chr22_lung,CLTCL1,ENSG00000070371.16,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cabin1_chr22_lung,CABIN1,ENSG00000099991.18,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
sh3bp1_chr22_lung,SH3BP1,ENSG00000100092.24,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
patz1_chr22_lung,PATZ1,ENSG00000100105.18,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc5a1_chr22_lung,SLC5A1,ENSG00000100170.10,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tcf20_chr22_lung,TCF20,ENSG00000100207.21,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cyb5r3_chr22_lung,CYB5R3,ENSG00000100243.22,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
apobec3h_chr22_lung,APOBEC3H,ENSG00000100298.16,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc25a17_chr22_lung,SLC25A17,ENSG00000100372.15,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
desi1_chr22_lung,DESI1,ENSG00000100418.8,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tubgcp6_chr22_lung,TUBGCP6,ENSG00000128159.12,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gal3st1_chr22_lung,GAL3ST1,ENSG00000128242.13,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mgat3_chr22_lung,MGAT3,ENSG00000128268.12,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ribc2_chr22_lung,RIBC2,ENSG00000128408.9,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
smdt1_chr22_lung,SMDT1,ENSG00000183172.9,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
creld2_chr22_lung,CRELD2,ENSG00000184164.15,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
xpnpep3_chr22_lung,XPNPEP3,ENSG00000196236.13,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tmem184b_chr22_lung,TMEM184B,ENSG00000198792.13,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pisd_chr22_lung,PISD,ENSG00000241878.12,protein_coding,Lung,chr22,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
aff4_chr5_lung,AFF4,ENSG00000072364.13,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc1a3_chr5_lung,SLC1A3,ENSG00000079215.15,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
kcnn2_chr5_lung,KCNN2,ENSG00000080709.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mef2c_chr5_lung,MEF2C,ENSG00000081189.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cdc23_chr5_lung,CDC23,ENSG00000094880.11,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lox_chr5_lung,LOX,ENSG00000113083.15,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
prkaa1_chr5_lung,PRKAA1,ENSG00000132356.12,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tmed7_chr5_lung,TMED7,ENSG00000134970.14,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pik3r1_chr5_lung,PIK3R1,ENSG00000145675.15,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tnip1_chr5_lung,TNIP1,ENSG00000145901.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fam193b_chr5_lung,FAM193B,ENSG00000146067.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
atg10_chr5_lung,ATG10,ENSG00000152348.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
otulin_chr5_lung,OTULIN,ENSG00000154124.5,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cdc42se2_chr5_lung,CDC42SE2,ENSG00000158985.14,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mrnip_chr5_lung,MRNIP,ENSG00000161010.16,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cd14_chr5_lung,CD14,ENSG00000170458.14,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ocln_chr5_lung,OCLN,ENSG00000197822.12,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ccdc152_chr5_lung,CCDC152,ENSG00000198865.10,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pcdhga1_chr5_lung,PCDHGA1,ENSG00000204956.6,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pcdhac2_chr5_lung,PCDHAC2,ENSG00000243232.6,protein_coding,Lung,chr5,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
