locus_id,gene_name,gene_id,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
ensg00000175866_16_lung,ENSG00000175866.16,ENSG00000175866.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000176749_9_lung,ENSG00000176749.9,ENSG00000176749.9,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000179094_16_lung,ENSG00000179094.16,ENSG00000179094.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000179604_10_lung,ENSG00000179604.10,ENSG00000179604.10,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000180901_11_lung,ENSG00000180901.11,ENSG00000180901.11,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000182224_12_lung,ENSG00000182224.12,ENSG00000182224.12,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000183010_17_lung,ENSG00000183010.17,ENSG00000183010.17,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000183018_9_lung,ENSG00000183018.9,ENSG00000183018.9,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000183688_4_lung,ENSG00000183688.4,ENSG00000183688.4,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000183978_8_lung,ENSG00000183978.8,ENSG00000183978.8,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000184060_11_lung,ENSG00000184060.11,ENSG00000184060.11,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000184361_13_lung,ENSG00000184361.13,ENSG00000184361.13,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000185624_16_lung,ENSG00000185624.16,ENSG00000185624.16,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000186074_19_lung,ENSG00000186074.19,ENSG00000186074.19,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000187531_14_lung,ENSG00000187531.14,ENSG00000187531.14,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000188662_7_lung,ENSG00000188662.7,ENSG00000188662.7,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000198909_8_lung,ENSG00000198909.8,ENSG00000198909.8,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000213876_4_lung,ENSG00000213876.4,ENSG00000213876.4,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000214546_4_lung,ENSG00000214546.4,ENSG00000214546.4,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000226359_1_lung,ENSG00000226359.1,ENSG00000226359.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000226871_1_lung,ENSG00000226871.1,ENSG00000226871.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000230148_8_lung,ENSG00000230148.8,ENSG00000230148.8,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000232859_10_lung,ENSG00000232859.10,ENSG00000232859.10,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000235554_1_lung,ENSG00000235554.1,ENSG00000235554.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000239246_3_lung,ENSG00000239246.3,ENSG00000239246.3,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000240445_6_lung,ENSG00000240445.6,ENSG00000240445.6,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000252699_1_lung,ENSG00000252699.1,ENSG00000252699.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000255987_1_lung,ENSG00000255987.1,ENSG00000255987.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000260105_6_lung,ENSG00000260105.6,ENSG00000260105.6,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000261924_1_lung,ENSG00000261924.1,ENSG00000261924.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000262500_1_lung,ENSG00000262500.1,ENSG00000262500.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000262823_1_lung,ENSG00000262823.1,ENSG00000262823.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000262979_1_lung,ENSG00000262979.1,ENSG00000262979.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000263069_6_lung,ENSG00000263069.6,ENSG00000263069.6,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000263219_1_lung,ENSG00000263219.1,ENSG00000263219.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000263786_1_lung,ENSG00000263786.1,ENSG00000263786.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000265125_5_lung,ENSG00000265125.5,ENSG00000265125.5,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000265148_7_lung,ENSG00000265148.7,ENSG00000265148.7,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000265702_2_lung,ENSG00000265702.2,ENSG00000265702.2,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000265749_6_lung,ENSG00000265749.6,ENSG00000265749.6,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000267121_6_lung,ENSG00000267121.6,ENSG00000267121.6,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000267369_1_lung,ENSG00000267369.1,ENSG00000267369.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000267446_1_lung,ENSG00000267446.1,ENSG00000267446.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000267711_1_lung,ENSG00000267711.1,ENSG00000267711.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000274341_1_lung,ENSG00000274341.1,ENSG00000274341.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000274756_1_lung,ENSG00000274756.1,ENSG00000274756.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000275066_5_lung,ENSG00000275066.5,ENSG00000275066.5,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000275152_5_lung,ENSG00000275152.5,ENSG00000275152.5,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000277258_5_lung,ENSG00000277258.5,ENSG00000277258.5,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279069_1_lung,ENSG00000279069.1,ENSG00000279069.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279089_1_lung,ENSG00000279089.1,ENSG00000279089.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279199_1_lung,ENSG00000279199.1,ENSG00000279199.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279713_1_lung,ENSG00000279713.1,ENSG00000279713.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279744_1_lung,ENSG00000279744.1,ENSG00000279744.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000279917_1_lung,ENSG00000279917.1,ENSG00000279917.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000280279_1_lung,ENSG00000280279.1,ENSG00000280279.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000280295_1_lung,ENSG00000280295.1,ENSG00000280295.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensg00000288993_1_lung,ENSG00000288993.1,ENSG00000288993.1,Lung,chr17,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
