locus_id,gene_name,gene_id,gene_type,gtex_tissue,gtex_chrom,reference_genome,maf_min,maf_max,min_sample_size,alphagenome_sequence_length,alphagenome_target_data_source,alphagenome_target_gtex_tissue,alphagenome_batch_size,alphagenome_max_workers,alphagenome_retry_wait_seconds,enabled
adcy10_chr1_lung,ADCY10,ENSG00000143199.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mettl25b_chr1_lung,METTL25B,ENSG00000143303.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ctsk_chr1_lung,CTSK,ENSG00000143387.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ensa_chr1_lung,ENSA,ENSG00000143420.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
nup210l_chr1_lung,NUP210L,ENSG00000143552.9,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc39a1_chr1_lung,SLC39A1,ENSG00000143570.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ilf2_chr1_lung,ILF2,ENSG00000143621.17,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ttc13_chr1_lung,TTC13,ENSG00000143643.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lefty2_chr1_lung,LEFTY2,ENSG00000143768.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rgs18_chr1_lung,RGS18,ENSG00000150681.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
nek7_chr1_lung,NEK7,ENSG00000151414.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
enah_chr1_lung,ENAH,ENSG00000154380.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cfap107_chr1_lung,CFAP107,ENSG00000157330.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cd1d_chr1_lung,CD1D,ENSG00000158473.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lad1_chr1_lung,LAD1,ENSG00000159166.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
psmb4_chr1_lung,PSMB4,ENSG00000159377.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
bsdc1_chr1_lung,BSDC1,ENSG00000160058.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
shc1_chr1_lung,SHC1,ENSG00000160691.19,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lrrc71_chr1_lung,LRRC71,ENSG00000160838.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc1a7_chr1_lung,SLC1A7,ENSG00000162383.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
usp24_chr1_lung,USP24,ENSG00000162402.14,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fblim1_chr1_lung,FBLIM1,ENSG00000162458.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lrrc38_chr1_lung,LRRC38,ENSG00000162494.6,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
kiaa1522_chr1_lung,KIAA1522,ENSG00000162522.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
eeig2_chr1_lung,EEIG2,ENSG00000162636.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
bpnt1_chr1_lung,BPNT1,ENSG00000162813.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
klhdc8a_chr1_lung,KLHDC8A,ENSG00000162873.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cfap141_chr1_lung,CFAP141,ENSG00000163263.7,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
snip1_chr1_lung,SNIP1,ENSG00000163877.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mfsd2a_chr1_lung,MFSD2A,ENSG00000168389.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ndufs5_chr1_lung,NDUFS5,ENSG00000168653.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ahcyl1_chr1_lung,AHCYL1,ENSG00000168710.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gstm4_chr1_lung,GSTM4,ENSG00000168765.18,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
znf692_chr1_lung,ZNF692,ENSG00000171163.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
uqcrh_chr1_lung,UQCRH,ENSG00000173660.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cyb561d1_chr1_lung,CYB561D1,ENSG00000174151.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
miga1_chr1_lung,MIGA1,ENSG00000180488.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dnah14_chr1_lung,DNAH14,ENSG00000185842.16,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
zfp69_chr1_lung,ZFP69,ENSG00000187815.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gpr89b_chr1_lung,GPR89B,ENSG00000188092.15,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cdc42se1_chr1_lung,CDC42SE1,ENSG00000197622.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
or14l1p_chr1_lung,OR14L1P,ENSG00000198452.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
colgalt2_chr1_lung,COLGALT2,ENSG00000198756.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lrig2_chr1_lung,LRIG2,ENSG00000198799.12,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
foxj3_chr1_lung,FOXJ3,ENSG00000198815.9,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cd247_chr1_lung,CD247,ENSG00000198821.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tatdn3_chr1_lung,TATDN3,ENSG00000203705.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
phactr4_chr1_lung,PHACTR4,ENSG00000204138.13,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tcea3_chr1_lung,TCEA3,ENSG00000204219.11,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cfap45_chr1_lung,CFAP45,ENSG00000213085.10,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
btbd19_chr1_lung,BTBD19,ENSG00000222009.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
c1orf226_chr1_lung,C1orf226,ENSG00000239887.6,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fcgr2c_chr1_lung,FCGR2C,ENSG00000244682.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
sec22b_chr1_lung,SEC22B,ENSG00000265808.4,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
nbpf19_chr1_lung,NBPF19,ENSG00000271383.8,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lix1l_chr1_lung,LIX1L,ENSG00000271601.4,protein_coding,Lung,chr1,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dcn_chr12_lung,DCN,ENSG00000011465.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
zcchc8_chr12_lung,ZCCHC8,ENSG00000033030.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pkp2_chr12_lung,PKP2,ENSG00000057294.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ppp1r12a_chr12_lung,PPP1R12A,ENSG00000058272.19,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mon2_chr12_lung,MON2,ENSG00000061987.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
erbb3_chr12_lung,ERBB3,ENSG00000065361.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
wscd2_chr12_lung,WSCD2,ENSG00000075035.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
rapgef3_chr12_lung,RAPGEF3,ENSG00000079337.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
wbp11_chr12_lung,WBP11,ENSG00000084463.8,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tesc_chr12_lung,TESC,ENSG00000088992.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
lag3_chr12_lung,LAG3,ENSG00000089692.9,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
vwf_chr12_lung,VWF,ENSG00000110799.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
p3h3_chr12_lung,P3H3,ENSG00000110811.20,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
prpf40b_chr12_lung,PRPF40B,ENSG00000110844.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc11a2_chr12_lung,SLC11A2,ENSG00000110911.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
camkk2_chr12_lung,CAMKK2,ENSG00000110931.19,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
bcl7a_chr12_lung,BCL7A,ENSG00000110987.9,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
myf6_chr12_lung,MYF6,ENSG00000111046.4,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
krt18_chr12_lung,KRT18,ENSG00000111057.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
foxm1_chr12_lung,FOXM1,ENSG00000111206.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
spring1_chr12_lung,SPRING1,ENSG00000111412.6,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
stx2_chr12_lung,STX2,ENSG00000111450.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
copz1_chr12_lung,COPZ1,ENSG00000111481.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
nup107_chr12_lung,NUP107,ENSG00000111581.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cpsf6_chr12_lung,CPSF6,ENSG00000111605.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slco1b3_chr12_lung,SLCO1B3,ENSG00000111700.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
fgfr1op2_chr12_lung,FGFR1OP2,ENSG00000111790.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
dnai7_chr12_lung,DNAI7,ENSG00000118307.20,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
socs2_chr12_lung,SOCS2,ENSG00000120833.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
washc3_chr12_lung,WASHC3,ENSG00000120860.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
bhlhe41_chr12_lung,BHLHE41,ENSG00000123095.6,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
atg101_chr12_lung,ATG101,ENSG00000123395.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
smug1_chr12_lung,SMUG1,ENSG00000123415.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pzp_chr12_lung,PZP,ENSG00000126838.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pus7l_chr12_lung,PUS7L,ENSG00000129317.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
cracr2a_chr12_lung,CRACR2A,ENSG00000130038.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
hip1r_chr12_lung,HIP1R,ENSG00000130787.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tmtc1_chr12_lung,TMTC1,ENSG00000133687.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
slc38a2_chr12_lung,SLC38A2,ENSG00000134294.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
itga7_chr12_lung,ITGA7,ENSG00000135424.19,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ppp1r1a_chr12_lung,PPP1R1A,ENSG00000135447.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pan2_chr12_lung,PAN2,ENSG00000135473.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mdm2_chr12_lung,MDM2,ENSG00000135679.27,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
aldh1l2_chr12_lung,ALDH1L2,ENSG00000136010.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
usp44_chr12_lung,USP44,ENSG00000136014.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ckap4_chr12_lung,CKAP4,ENSG00000136026.14,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pde6h_chr12_lung,PDE6H,ENSG00000139053.3,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
erp27_chr12_lung,ERP27,ENSG00000139055.7,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
zcrb1_chr12_lung,ZCRB1,ENSG00000139168.9,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ndufa9_chr12_lung,NDUFA9,ENSG00000139180.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tapbpl_chr12_lung,TAPBPL,ENSG00000139192.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
scaf11_chr12_lung,SCAF11,ENSG00000139218.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
glipr1_chr12_lung,GLIPR1,ENSG00000139278.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ptprq_chr12_lung,PTPRQ,ENSG00000139304.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tmtc3_chr12_lung,TMTC3,ENSG00000139324.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ascl1_chr12_lung,ASCL1,ENSG00000139352.4,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tarbp2_chr12_lung,TARBP2,ENSG00000139546.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
map3k12_chr12_lung,MAP3K12,ENSG00000139625.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
abtb3_chr12_lung,ABTB3,ENSG00000151136.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ano4_chr12_lung,ANO4,ENSG00000151572.18,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
glt1d1_chr12_lung,GLT1D1,ENSG00000151948.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
tmem132d_chr12_lung,TMEM132D,ENSG00000151952.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
ptprr_chr12_lung,PTPRR,ENSG00000153233.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
itga5_chr12_lung,ITGA5,ENSG00000161638.11,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
aqp5_chr12_lung,AQP5,ENSG00000161798.7,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
pdzrn4_chr12_lung,PDZRN4,ENSG00000165966.16,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
depdc4_chr12_lung,DEPDC4,ENSG00000166153.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
frs2_chr12_lung,FRS2,ENSG00000166225.9,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
clec4d_chr12_lung,CLEC4D,ENSG00000166527.8,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
iqcd_chr12_lung,IQCD,ENSG00000166578.10,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
gpr182_chr12_lung,GPR182,ENSG00000166856.3,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
nab2_chr12_lung,NAB2,ENSG00000166886.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
stat6_chr12_lung,STAT6,ENSG00000166888.12,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
mars1_chr12_lung,MARS1,ENSG00000166986.15,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
aqp2_chr12_lung,AQP2,ENSG00000167580.8,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
krt1_chr12_lung,KRT1,ENSG00000167768.4,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
krt8_chr12_lung,KRT8,ENSG00000170421.13,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
smagp_chr12_lung,SMAGP,ENSG00000170545.17,protein_coding,Lung,chr12,hg38,0.01,0.99,50,1MB,gtex,Lung,100,8,5,True
